	#	FORM	LEMMA	GRAM	COMMENT	CHECKED	RIGHT1	RIGHT2	RIGHT3	RIGHT4	RIGHT5	RIGHT6	POS	AUTO_LEMMA	AUTO_GRAM	
33386	12	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33387	13	>	>	PUNC									PUNC	>	PUNC	
33388	14	,	,	PUNC									PUNC	,	PUNC	
33389	15	возможно	¬ќ«ћќ∆Ќќ	ADV -			о	н	ж	о	м	з	ADV	¬ќ«ћќ∆Ќќ	ADV -	
33390	16	,	,	PUNC									PUNC	,	PUNC	
33391	17	они	ќЌ»	SPRO pl - - nom			и	н	о				SPRO	ќЌ»	SPRO pl - - nom	
33392	18	и	»	CONJ			и						CONJ	»	CONJ	
33393	19	знают	«Ќј“№	V ipf praes pl indic - 3p			т	ю	а	н	з		V	«Ќј“№	V ipf praes pl indic - 3p	
33394	20	,	,	PUNC									PUNC	,	PUNC	
33395	21	как	 ј 	CONJ			к	а	к				CONJ	 ј 	CONJ	
33396	22	надо	Ќјƒќ	PRAEDIC -			о	д	а	н			ADV	Ќјƒќ	ADV -	
33397	23	правильно	ѕ–ј¬»Ћ№Ќќ	ADV -			о	н	ь	л	и	в	ADV	ѕ–ј¬»Ћ№Ќќ	ADV -	
33398	24	,	,	PUNC									PUNC	,	PUNC	
33399	25	но	Ќќ	CONJ			о	н					CONJ	Ќќ	CONJ	
33400	26	<	<	PUNC									PUNC	<	PUNC	
33401	27	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33402	28	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33403	29	=	=	PUNC									PUNC	=	PUNC	
33404	30			_											_	
33405	31	ни	Ќ»	PART			и	н					PART	Ќ»	PART	
33406	32			_											_	
33407	33	>	>	PUNC									PUNC	>	PUNC	
33408	34	они	ќЌ»	SPRO pl - - nom			и	н	о				SPRO	ќЌ»	SPRO pl - - nom	
33409	35	<	<	PUNC									PUNC	<	PUNC	
33410	36	/	/	PUNC									PUNC	/	PUNC	
33411	37	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33412	38	>	>	PUNC									PUNC	>	PUNC	
33413	39	совершенно	—ќ¬≈–Ў≈ЌЌќ	ADV -			о	н	н	е	ш	р	ADV	—ќ¬≈–Ў≈ЌЌќ	ADV -	
33414	40	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33415	41	используют	»—ѕќЋ№«ќ¬ј“№	V ipf praes pl act indic - 3p			т	ю	у	з	ь	л	V	»—ѕќЋ№«ќ¬ј“№	V ipf praes pl indic - 3p	
33416	42	это	Ё“ќ	SPRO n - nom sg			о	т	э				S	Ё“ќ	S n - nom sg	
33417	43	в	¬	PR			в						PR	¬	PR	
33418	44	речи	–≈„№	S f inan loc sg			и	ч	е	р			S	–≈„№	S f inan gen sg	
33419	45	.	.	SENT									SENT	.	SENT	
33420																
33421	1	≈лена	≈Ћ≈Ќј	S f anim persn nom sg			а	н	е	л	е		S	≈Ћ≈Ќј	S f anim nom sg	53
33422	2	@	@	PUNC									PUNC	@	PUNC	
33423	3	Ќа	Ќј	PR			а	н					PR	Ќј	PR	
33424	4	мой	ћќ…	APRO - acc sg plen m inan			й	о	м				A	ћќ…	A - acc sg plen m inan	
33425	5	взгл€д	¬«√Ћяƒ	S m inan acc sg			д	€	л	г	з	в	S	¬«√Ћяƒ	S m inan acc sg	
33426	6	,	,	PUNC									PUNC	,	PUNC	
33427	7	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
33428	8	,	,	PUNC									PUNC	,	PUNC	
33429	9	пон€тие	ѕќЌя“»≈	S n inan nom sg			е	и	т	€	н	о	S	ѕќЌя“»≈	S n inan nom sg	
33430	10	интеллигентности	»Ќ“≈ЋЋ»√≈Ќ“Ќќ—“№	S f inan gen sg			и	т	с	о	н	т	S	»Ќ“≈ЋЋ»√≈Ќ“Ќќ—“№	S f inan gen sg	
33431	11	,	,	PUNC									PUNC	,	PUNC	
33432	12	которое	 ќ“ќ–џ…	A - nom sg plen n -			е	о	р	о	т	о	A	 ќ“ќ–џ…	A - nom sg plen n -	
33433	13	сейчас	—≈…„ј—	ADV -			с	а	ч	й	е	с	ADV	—≈…„ј—	ADV -	
33434	14	почему-то	ѕќ„≈ћ”-“ќ	ADV -			о	т		у	м	е	ADV	ѕќ„≈ћ”-“ќ	ADV -	18
33435	15	вообще	¬ќќЅў≈	ADV -			е	щ	б	о	о	в	ADV	¬ќќЅў≈	ADV -	
33436	16	абсолютно	јЅ—ќЋё“Ќќ	ADV -			о	н	т	ю	л	о	ADV	јЅ—ќЋё“Ќќ	ADV -	
33437	17	исчезло	»—„≈«Ќ”“№	V pf praet sg act indic n -			о	л	з	е	ч	с	V	»—„≈«Ќ”“№	V pf praet sg indic n -	
33438	18	и	»	CONJ			и						CONJ	»	CONJ	
33439	19	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33440	20	используетс€	»—ѕќЋ№«ќ¬ј“№—я	V ipf praes sg pass indic - 3p			€	с	т	е	у	з	V	»—ѕќЋ№«ќ¬ј“№—я	V ipf praes sg indic - 3p	
33441	21	,	,	PUNC									PUNC	,	PUNC	
33442	22	состоит	—ќ—“ќя“№	V ipf praes sg indic act 3p			т	и	о	т	с	о	V	—ќ—“ќя“№	V ipf praes sg indic - 3p	42
33443	23	в	¬	PR			в						PR	¬	PR	
33444	24	том	“ќ	SPRO n - loc sg			м	о	т				S	“ќ	S n - loc sg	
33445	25	,	,	PUNC									PUNC	,	PUNC	
33446	26	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33447	27	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
33448	28	всегда	¬—≈√ƒј	ADV -			а	д	г	е	с	в	ADV	¬—≈√ƒј	ADV -	
33449	29	говоришь	√ќ¬ќ–»“№	V ipf praes sg indic - 2p			ь	ш	и	р	о	в	V	√ќ¬ќ–»“№	V ipf praes sg indic - 2p	
33450	30	правильно	ѕ–ј¬»Ћ№Ќќ	ADV -			о	н	ь	л	и	в	ADV	ѕ–ј¬»Ћ№Ќќ	ADV -	
33451	31	.	.	SENT									SENT	.	SENT	
33452																
33453	1	Ќе	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33454	2	когда	 ќ√ƒј	CONJ			а	д	г	о	к		CONJ	 ќ√ƒј	CONJ	
33455	3	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
33456	4	знаешь	«Ќј“№	V ipf praes sg indic - 2p			ь	ш	е	а	н	з	V	«Ќј“№	V ipf praes sg indic - 2p	
33457	5	,	,	PUNC									PUNC	,	PUNC	
33458	6	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33459	7	надо	Ќјƒќ	PRAEDIC -			о	д	а	н			ADV	Ќјƒќ	ADV -	
33460	8	говорить	√ќ¬ќ–»“№	V ipf - - inf - -			ь	т	и	р	о	в	V	√ќ¬ќ–»“№	V ipf - - inf - -	9
33461	9	правильно	ѕ–ј¬»Ћ№Ќќ	ADV -			о	н	ь	л	и	в	ADV	ѕ–ј¬»Ћ№Ќќ	ADV -	
33462	10	,	,	PUNC									PUNC	,	PUNC	
33463	11	а	ј	CONJ			а						CONJ	ј	CONJ	
33464	12	когда	 ќ√ƒј	CONJ			а	д	г	о	к		CONJ	 ќ√ƒј	CONJ	
33465	13	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
33466	14	общаешьс€	ќЅўј“№—я	V ipf praes sg indic act 2p			€	с	ь	ш	е	а	V	ќЅўј“№—я	V ipf praes sg indic - 2p	
33467	15	со	—ќ	PR			о	с					PR	—ќ	PR	
33468	16	своими	—¬ќ…	APRO - ins pl plen - -			и	м	и	о	в	с	A	—¬ќ…	A - ins pl plen - -	
33469	17	друзь€ми	ƒ–”√	S m anim ins pl			и	м	€	ь	з	у	S	ƒ–”√	S m anim ins pl	
33470	18	,	,	PUNC									PUNC	,	PUNC	
33471	19	когда	 ќ√ƒј	CONJ			а	д	г	о	к		CONJ	 ќ√ƒј	CONJ	
33472	20	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
33473	21	общаешьс€	ќЅўј“№—я	V ipf praes sg indic act 2p			€	с	ь	ш	е	а	V	ќЅўј“№—я	V ipf praes sg indic - 2p	
33474	22	со	—ќ	PR			о	с					PR	—ќ	PR	
33475	23	своими	—¬ќ…	A - ins pl plen - -			и	м	и	о	в	с	A	—¬ќ…	A - ins pl plen - -	
33476	24	родственниками	–ќƒ—“¬≈ЌЌ» 	S m anim ins pl			и	м	а	к	и	н	S	–ќƒ—“¬≈ЌЌ» 	S m anim ins pl	
33477	25	,	,	PUNC									PUNC	,	PUNC	
33478	26	<	<	PUNC									PUNC	<	PUNC	
33479	27	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33480	28	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33481	29	=	=	PUNC									PUNC	=	PUNC	
33482	30			_											_	
33483	31	ѕрстить	ѕ–ќ—“»“№	V ipf - - inf - -	distort		ь	т	и	т	с	р	V	ѕ–—“»“№	V ipf - - inf - -	
33484	32			_											_	
33485	33	>	>	PUNC									PUNC	>	PUNC	
33486	34	ѕростите	ѕ–ќ—“»“№	V pf fut pl indic imper 2p			е	т	и	т	с	о	V	ѕ–ќ—“»“№	V pf fut pl indic - 2p	
33487	35	<	<	PUNC									PUNC	<	PUNC	
33488	36	/	/	PUNC									PUNC	/	PUNC	
33489	37	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33490	38	>	>	PUNC									PUNC	>	PUNC	
33491	39	,	,	PUNC									PUNC	,	PUNC	
33492	40	даже	ƒј∆≈	PART			е	ж	а	д			PART	ƒј∆≈	PART	
33493	41	когда	 ќ√ƒј	CONJ			а	д	г	о	к		CONJ	 ќ√ƒј	CONJ	
33494	42	ты	“џ	SPRO sg 2p - nom			ы	т					SPRO	“џ	SPRO sg 2p - nom	
33495	43	со	—ќ	PR			о	с					PR	—ќ	PR	
33496	44	своей	—¬ќ…	A - ins sg plen f -			й	е	о	в	с		A	—¬ќ…	A - ins sg plen f -	
33497	45	кошкой	 ќЎ ј	S f anim ins sg			й	о	к	ш	о	к	S	 ќЎ ј	S f anim ins sg	
33498	46	общаешьс€	ќЅўј“№—я	V ipf praes sg indic act 2p			€	с	ь	ш	е	а	V	ќЅўј“№—я	V ipf praes sg indic - 2p	
33499	47	,	,	PUNC									PUNC	,	PUNC	
33500	48	все равно	все равно	-	раздельно		о	н	в	а	р	 	-	все равно	-	
33501	49	надо	Ќјƒќ	PRAEDIC -			о	д	а	н			ADV	Ќјƒќ	ADV -	
33502	50	говорить	√ќ¬ќ–»“№	V ipf - - inf - -			ь	т	и	р	о	в	V	√ќ¬ќ–»“№	V ipf - - inf - -	
33503	51	правильно	ѕ–ј¬»Ћ№Ќќ	ADV -			о	н	ь	л	и	в	ADV	ѕ–ј¬»Ћ№Ќќ	ADV -	
33504	52	.	.	SENT									SENT	.	SENT	
33505																
33506	1	ћен€	я	SPRO sg 1p - acc			€	н	е	м			SPRO	я	SPRO sg 1p - acc	
33507	2	<	<	PUNC									PUNC	<	PUNC	
33508	3	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33509	4	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33510	5	=	=	PUNC									PUNC	=	PUNC	31
33511	6			_											_	
33512	7	вседа	¬—≈√ƒј	ADV -	distort		а	д	е	с	в		S	¬—≈ƒ	S m inan gen sg	
33513	8			_											_	
33514	9	>	>	PUNC									PUNC	>	PUNC	
33515	10	всегда	¬—≈√ƒј	ADV -			а	д	г	е	с	в	ADV	¬—≈√ƒј	ADV -	
33516	11	<	<	PUNC									PUNC	<	PUNC	12
33517	12	/	/	PUNC									PUNC	/	PUNC	
33518	13	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33519	14	>	>	PUNC									PUNC	>	PUNC	
33520	15	страшно	—“–јЎЌќ	ADV -			о	н	ш	а	р	т	ADV	—“–јЎЌќ	ADV -	
33521	16	умил€ло	”ћ»Ћя“№	V ipf praet sg indic n act			о	л	€	л	и	м	V	”ћ»Ћя“№	V ipf praet sg indic n -	
33522	17	,	,	PUNC									PUNC	,	PUNC	
33523	18	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
33524	19	,	,	PUNC									PUNC	,	PUNC	
33525	20	когда	 ќ√ƒј	CONJ			а	д	г	о	к		CONJ	 ќ√ƒј	CONJ	
33526	21	рождаетс€	–ќ∆ƒј“№—я	V ipf praes sg indic med 3p			€	с	т	е	а	д	V	–ќ∆ƒј“№—я	V ipf praes sg indic - 3p	
33527	22	ребенок	–≈Ѕ≈Ќќ 	S m anim nom sg			к	о	н	е	б	е	S	–≈Ѕ≈Ќќ 	S m anim nom sg	
33528	23	и	»	CONJ			и						CONJ	»	CONJ	
33529	24	почему-то	ѕќ„≈ћ”-“ќ	ADV -			о	т		у	м	е	ADV	ѕќ„≈ћ”-“ќ	ADV -	
33530	25	все	¬—≈	SPRO anim  - - nom pl			е	с	в				S	¬—≈	S - - nom pl	
33531	26	считают	—„»“ј“№	V ipf praes pl indic act 3p			т	ю	а	т	и	ч	V	—„»“ј“№	V ipf praes pl indic - 3p	
33532	27	необходимым	Ќ≈ќЅ’ќƒ»ћџ…	A - ins sg plen n -			м	ы	м	и	д	о	A	Ќ≈ќЅ’ќƒ»ћџ…	A - ins sg plen n -	
33533	28	разговаривать	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -			ь	т	а	в	и	р	V	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -	
33534	29	с	—	PR			с						PR	—	PR	
33535	30	ним	ќЌ	SPRO sg 3p m ins			м	и	н				SPRO	ќЌ	SPRO sg 3p m ins	
33536	31	наа	Ќј	PR			а	а	н				S	Ќјј	S m inan nonflex nonflex	
33537	32	уровне	”–ќ¬≈Ќ№	S m inan loc sg			е	н	в	о	р	у	S	”–ќ¬≈Ќ№	S m inan loc sg	
33538	33	:	:	PUNC									PUNC	:	PUNC	
33539	34	Ђ	Ђ	PUNC									PUNC	Ђ	PUNC	
33540	35	”ти	”“»	NONLEX	distort		и	т	у				S	”“»	S f inan nonflex nonflex	
33541	36	-	-	PUNC									PUNC	-	PUNC	
33542	37	пути	ѕ”“№	NONLEX	слитно		и	т	у	п			S	ѕ”“№	S m inan gen sg	
33543	38	,	,	PUNC									PUNC	,	PUNC	
33544	39	сю	—ё	NONLEX	слитно		ю	с					NONLEX	—ё	NONLEX	
33545	40	-	-	PUNC									PUNC	-	PUNC	
33546	41	сю	—ё	NONLEX	слитно		ю	с					NONLEX	—ё	NONLEX	
33547	42	-	-	PUNC									PUNC	-	PUNC	
33548	43	сю	—ё	NONLEX	слитно		ю	с					NONLEX	—ё	NONLEX	
33549	44	ї	ї	PUNC									PUNC	ї	PUNC	
33550	45	.	.	SENT									SENT	.	SENT	
33551																
33552	1	„ем	„“ќ	SPRO n inan loc sg			м	е	ч				S	„“ќ	S n inan loc sg	
33553	2	он	ќЌ	SPRO sg 3p m nom			н	о					SPRO	ќЌ	SPRO sg 3p m nom	15
33554	3	-	-	PUNC									PUNC	-	PUNC	
33555	4	то	“ќ	PART			о	т					NONLEX	“ќ	NONLEX	
33556	5	<	<	PUNC									PUNC	<	PUNC	
33557	6	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33558	7	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33559	8	=	=	PUNC									PUNC	=	PUNC	
33560	9			_											_	
33561	10	отли	ќ“Ћ№	S m anim nom pl	distort		и	л	т	о			S	ќ“Ћ№	S m anim nom pl	
33562	11			_											_	
33563	12	>	>	PUNC									PUNC	>	PUNC	
33564	13	отличаетс€	ќ“Ћ»„ј“№—я	V ipf praes sg indic act 3p			€	с	т	е	а	ч	V	ќ“Ћ»„ј“№—я	V ipf praes sg indic - 3p	
33565	14	<	<	PUNC									PUNC	<	PUNC	
33566	15	/	/	PUNC									PUNC	/	PUNC	
33567	16	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33568	17	>	>	PUNC									PUNC	>	PUNC	
33569	18	...	...	SENT									SENT	...	SENT	
33570																
33571	1	ќн	ќЌ	SPRO sg 3p m nom			н	о					SPRO	ќЌ	SPRO sg 3p m nom	
33572	2	-	-	PUNC									PUNC	-	PUNC	
33573	3	то	“ќ	PART			о	т					PART	“ќ	PART	
33574	4	откуда	ќ“ ”ƒј	ADV -			а	д	у	к	т	о	ADV	ќ“ ”ƒј	ADV -	
33575	5	узнает	”«Ќј¬ј“№	V ipf fut sg indic act 3p			т	е	а	н	з	у	V	”«Ќј¬ј“№	V ipf praes sg indic - 3p	
33576	6	нормальный	Ќќ–ћјЋ№Ќџ…	A - acc sg plen m -			й	ы	н	ь	л	а	A	Ќќ–ћјЋ№Ќџ…	A - nom sg plen m -	
33577	7	русский	–”—— »…	A - acc sg plen m -			й	и	к	с	с	у	A	–”—— »…	A - nom sg plen m -	
33578	8	€зык	я«џ 	S m inan acc sg			к	ы	з	€			S	я«џ 	S m inan nom sg	
33579	9	,	,	PUNC									PUNC	,	PUNC	
33580	10	если	≈—Ћ»	CONJ			и	л	с	е			CONJ	≈—Ћ»	CONJ	
33581	11	с	—	PR			с						PR	—	PR	
33582	12	ним	ќЌ	SPRO sg 3p m ins			м	и	н				SPRO	ќЌ	SPRO sg 3p m ins	
33583	13	так	“ј 	ADV -			к	а	т				ADV	“ј 	ADV -	
33584	14	разговаривать	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -			ь	т	а	в	и	р	V	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -	
33585	15	?	?	SENT									SENT	?	SENT	
33586																
33587	1	<	<	PUNC									PUNC	<	PUNC	
33588	2	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33589	3	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33590	4	=	=	PUNC									PUNC	=	PUNC	31
33591	5			_											_	
33592	6	“ость	“ќ ≈—“№	S f anim acc sg	distort		ь	т	с	о	т		S	“ќ—“№	S f anim acc sg	
33593	7			_											_	
33594	8	>	>	PUNC									PUNC	>	PUNC	
33595	9	“о есть	“ќ ≈—“№	PART			ь	т	с	е	 	о	-	“о есть	-	
33596	10	<	<	PUNC									PUNC	<	PUNC	
33597	11	/	/	PUNC									PUNC	/	PUNC	
33598	12	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33599	13	>	>	PUNC									PUNC	>	PUNC	
33600	14	,	,	PUNC									PUNC	,	PUNC	
33601	15	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
33602	16	,	,	PUNC									PUNC	,	PUNC	
33603	17	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
33604	18	считаю	—„»“ј“№	V ipf praes sg indic act 1p			ю	а	т	и	ч	с	V	—„»“ј“№	V ipf praes sg indic - 1p	
33605	19	,	,	PUNC									PUNC	,	PUNC	
33606	20	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33607	21	<	<	PUNC									PUNC	<	PUNC	
33608	22	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33609	23	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33610	24	=	=	PUNC									PUNC	=	PUNC	
33611	25			_											_	
33612	26	иии	»	CONJ			и	и	и				S	»»»	S m inan gen sg	
33613	27			_											_	
33614	28	>	>	PUNC									PUNC	>	PUNC	
33615	29	и	»	CONJ			и						CONJ	»	CONJ	
33616	30	<	<	PUNC									PUNC	<	PUNC	
33617	31	/	/	PUNC									PUNC	/	PUNC	
33618	32	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33619	33	>	>	PUNC									PUNC	>	PUNC	
33620	34	с	—	PR			с						PR	—	PR	
33621	35	грудным	√–”ƒЌќ…	A - ins sg plen m -			м	ы	н	д	у	р	A	√–”ƒЌќ…	A - ins sg plen m -	
33622	36	ребенком	–≈Ѕ≈Ќќ 	S m anim ins sg			м	о	к	н	е	б	S	–≈Ѕ≈Ќќ 	S m inan ins sg	
33623	37	надо	Ќјƒќ	PRAEDIC -			о	д	а	н			ADV	Ќјƒќ	ADV -	
33624	38	разговаривать	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -			ь	т	а	в	и	р	V	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -	
33625	39	абсолютно	јЅ—ќЋё“Ќќ	ADV -			о	н	т	ю	л	о	ADV	јЅ—ќЋё“Ќќ	ADV -	
33626	40	нормальным	Ќќ–ћјЋ№Ќџ…	A - ins sg plen m -			м	ы	н	ь	л	а	A	Ќќ–ћјЋ№Ќџ…	A - ins sg plen m -	6
33627	41	русским	–”—— »…	A - ins sg plen m -			м	и	к	с	с	у	A	–”—— »…	A - ins sg plen m -	
33628	42	€зыком	я«џ 	S m inan ins sg			м	о	к	ы	з	€	S	я«џ 	S m inan ins sg	
33629	43	.	.	SENT									SENT	.	SENT	
33630																
33631	1	»	»	CONJ			и						CONJ	»	CONJ	
33632	2	ребенок	–≈Ѕ≈Ќќ 	S m anim nom sg			к	о	н	е	б	е	S	–≈Ѕ≈Ќќ 	S m anim nom sg	
33633	3	должен	ƒќЋ∆Ќџ…	PRAEDIC -			н	е	ж	л	о	д	A	ƒќЋ∆Ќџ…	A - - sg brev m -	
33634	4	слышать	—ЋџЎј“№	V ipf - - inf - -			ь	т	а	ш	ы	л	V	—ЋџЎј“№	V ipf - - inf - -	
33635	5	хорошую	’ќ–ќЎ»…	A - acc sg plen f -			ю	у	ш	о	р	о	A	’ќ–ќЎ»…	A - acc sg plen f -	
33636	6	,	,	PUNC									PUNC	,	PUNC	
33637	7	развитую	–ј«¬»“џ…	A - acc sg plen f -			ю	у	т	и	в	з	A	–ј«¬»“џ…	A - acc sg plen f -	
33638	8	речь	–≈„№	S f inan acc sg			ь	ч	е	р			S	–≈„№	S f inan acc sg	
33639	9	.	.	SENT									SENT	.	SENT	
33640																
33641	1	<	<	PUNC									PUNC	<	PUNC	
33642	2	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33643	3	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33644	4	=	=	PUNC									PUNC	=	PUNC	
33645	5			_											_	
33646	6	“ока	“ќЋ№ ќ	PART	distort		а	к	о	т			S	“ќ 	S m inan acc pl	
33647	7			_											_	8
33648	8	>	>	PUNC									PUNC	>	PUNC	
33649	9	“олько	“ќЋ№ ќ	PART			о	к	ь	л	о	т	PART	“ќЋ№ ќ	PART	
33650	10	<	<	PUNC									PUNC	<	PUNC	22
33651	11	/	/	PUNC									PUNC	/	PUNC	
33652	12	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33653	13	>	>	PUNC									PUNC	>	PUNC	
33654	14	тогда	“ќ√ƒј	ADV -			а	д	г	о	т		ADV	“ќ√ƒј	ADV -	
33655	15	он	ќЌ	SPRO sg 3p m nom			н	о					SPRO	ќЌ	SPRO sg 3p m nom	
33656	16	сможет	—ћќ„№	V pf fut sg indic act 3p			т	е	ж	о	м	с	V	—ћќ„№	V pf fut sg indic - 3p	
33657	17	научитьс€	Ќј”„»“№—я	V pf - - inf - -			€	с	ь	т	и	ч	V	Ќј”„»“№—я	V pf - - inf - -	
33658	18	нормально	Ќќ–ћјЋ№Ќќ	ADV -			о	н	ь	л	а	м	ADV	Ќќ–ћјЋ№Ќќ	ADV -	
33659	19	говорить	√ќ¬ќ–»“№	V ipf - - inf - -			ь	т	и	р	о	в	V	√ќ¬ќ–»“№	V ipf - - inf - -	
33660	20	.	.	SENT									SENT	.	SENT	
33661																
33662	1	<	<	PUNC									PUNC	<	PUNC	
33663	2	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33664	3	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
33665	4	=	=	PUNC									PUNC	=	PUNC	
33666	5			_											_	8
33667	6	—кока	— ќЋ№ ќ	ADV -	distort		а	к	о	к	с		S	— ќ 	S f inan nom sg	
33668	7			_											_	
33669	8	>	>	PUNC									PUNC	>	PUNC	
33670	9	—колько	— ќЋ№ ќ	ADV -			о	к	ь	л	о	к	ADV	— ќЋ№ ќ	ADV -	27
33671	10	<	<	PUNC									PUNC	<	PUNC	
33672	11	/	/	PUNC									PUNC	/	PUNC	
33673	12	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
33674	13	>	>	PUNC									PUNC	>	PUNC	
33675	14	раз	–ј«	S m inan gen sg			з	а	р				S	–ј«	S m inan acc sg	
33676	15	мы	ћџ	SPRO pl 1p - nom			ы	м					SPRO	ћџ	SPRO pl 1p - nom	
33677	16	видели	¬»ƒ≈“№	V ipf praet pl indic - -			и	л	е	д	и	в	V	¬»ƒ≈“№	V ipf praet pl indic - -	
33678	17	такое	“ј ќ…	APRO - acc sg plen n inan			е	о	к	а	т		A	“ј ќ…	A - acc sg plen n inan	
33679	18	,	,	PUNC									PUNC	,	PUNC	
33680	19	да	ƒј	PART			а	д					CONJ	ƒј	CONJ	
33681	20	,	,	PUNC									PUNC	,	PUNC	
33682	21	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
33683	22	в	¬	PR			в						PR	¬	PR	
33684	23	семь€х	—≈ћ№я	S f inan loc pl			х	€	ь	м	е	с	S	—≈ћ№я	S f inan loc pl	
33685	24	,	,	PUNC									PUNC	,	PUNC	
33686	25	эээ	Ё	INTJ			э	э	э				NONLEX	ЁЁЁ	NONLEX	
33687	26	,	,	PUNC									PUNC	,	PUNC	
33688	27	где	√ƒ≈	ADVPRO -			е	д	г				ADV	√ƒ≈	ADV -	
33689	28	папа	ѕјѕј	S m anim nom sg			а	п	а	п			S	ѕјѕј	S m anim nom sg	
33690	29	с	—	PR			с						PR	—	PR	
33691	30	мамой	ћјћј	S f anim ins sg			й	о	м	а	м		S	ћјћј	S f anim ins sg	
33692	31	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
33693	32	ругаютс€	–”√ј“№—я	V ipf praes pl indic med 3p			€	с	т	ю	а	г	V	–”√ј“№—я	V ipf praes pl indic - 3p	
33694	33	матом	ћј“	S m inan ins sg			м	о	т	а	м		S	ћј“	S m inan ins sg	
33695	34	,	,	PUNC									PUNC	,	PUNC	
33696	35	а	ј	CONJ			а						CONJ	ј	CONJ	
33697	36	на	Ќј	PR			а	н					PR	Ќј	PR	
33698	37	нем	ќЌ	SPRO sg 3p m loc			м	е	н				SPRO	ќЌ	SPRO sg 3p m loc	
33699	38	разговаривают	–ј«√ќ¬ј–»¬ј“№	V ipf praes pl indic act 3p			т	ю	а	в	и	р	V	–ј«√ќ¬ј–»¬ј“№	V ipf praes pl indic - 3p	
33700	39	,	,	PUNC									PUNC	,	PUNC	
33701	40	дети	–≈Ѕ≈Ќќ 	S m anim nom pl			и	т	е	д			S	–≈Ѕ≈Ќќ 	S m anim nom pl	
33702	41	общаютс€	ќЅўј“№—я	V ipf praes pl indic act 3p			€	с	т	ю	а	щ	V	ќЅўј“№—я	V ipf praes pl indic - 3p	
33703	42	абсолютно	јЅ—ќЋё“Ќќ	ADV -			о	н	т	ю	л	о	ADV	јЅ—ќЋё“Ќќ	ADV -	
33704	43	так же	так же	NONLEX	раздельно		е	ж	 	к	а	т	-	так же	-	
33705	44	.	.	SENT									SENT	.	SENT	
33706																
